Entity,Code,Year,14.1.1 - Coastal eutrophication: Total Nitrogen (TN) (kilograms of nitrogen from algae biomass per sq. km. of river basin area per day) - EN_MAR_TN,14.1.1 - Coastal eutrophication: Total Phosphorus (TP) (kilograms of phosphorus from algae biomass per sq. km. of river basin area per day) - EN_MAR_TP
Gulf of Mexico,,2007,59751.56,3507.12
Gulf of Mexico,,2008,58336.56,3658.8
Gulf of Mexico,,2009,57998.02,3140.69
Gulf of Mexico,,2010,60537.29,4207.21
Gulf of Mexico,,2011,60537.29,2382.19
Gulf of Mexico,,2012,60537.29,2600.22
Gulf of Mexico,,2013,60537.29,2346.28
Gulf of Mexico,,2014,60537.29,2320.89
Gulf of Mexico,,2015,60537.29,2630.4
Gulf of Thailand,,2000,40498.97,819.72
Gulf of Thailand,,2001,37888.5,737.55
Gulf of Thailand,,2002,35247.45,653.67
Gulf of Thailand,,2003,40296.31,709.63
Gulf of Thailand,,2004,38886.93,682.4
Gulf of Thailand,,2005,37044.02,648.86
Gulf of Thailand,,2006,44275.88,874.74
Gulf of Thailand,,2007,43208.15,848
Gulf of Thailand,,2008,42152.61,818.4
Gulf of Thailand,,2009,45740.78,851.73
Gulf of Thailand,,2010,45601.94,747.05
Gulf of Thailand,,2011,45601.94,702.86
Gulf of Thailand,,2012,45601.94,660.45
Gulf of Thailand,,2013,45601.94,874.93
Gulf of Thailand,,2014,45601.94,749.19
Gulf of Thailand,,2015,45601.94,693.6
Hudson Bay Complex,,2000,23825.35,220.5
Hudson Bay Complex,,2001,23944.16,232.37
Hudson Bay Complex,,2002,24666.22,248.36
Hudson Bay Complex,,2003,22325.45,220.4
Hudson Bay Complex,,2004,24682.24,246.38
Hudson Bay Complex,,2005,26336.53,261.36
Hudson Bay Complex,,2006,24934.89,240.31
Hudson Bay Complex,,2007,25568.86,260.91
Hudson Bay Complex,,2008,24935.67,256.45
Hudson Bay Complex,,2009,24536.17,225.21
Hudson Bay Complex,,2010,24714.18,218.99
Hudson Bay Complex,,2011,24714.17,265.93
Hudson Bay Complex,,2012,24714.18,246.72
Hudson Bay Complex,,2013,24714.2,235.55
Hudson Bay Complex,,2014,24714.21,211.43
Hudson Bay Complex,,2015,24714.21,234.54
Humboldt Current,,2000,39280.54,2125.13
Humboldt Current,,2001,41363.15,2341.21
Humboldt Current,,2002,39579.13,2298.27
Humboldt Current,,2003,36836.4,1958.2
Humboldt Current,,2004,37909.94,1956.16
Humboldt Current,,2005,37682.3,1827.59
Humboldt Current,,2006,36826.43,1808.54
Humboldt Current,,2007,38308.58,1871.52
Humboldt Current,,2008,39826.32,2000.92
Humboldt Current,,2009,39531.49,1799.15
Humboldt Current,,2010,40374.08,1924.95
Humboldt Current,,2011,40374.1,1906.84
Humboldt Current,,2012,40373.99,1939.2
Humboldt Current,,2013,40374,1595.16
Humboldt Current,,2014,40374,1634.93
Humboldt Current,,2015,40374,1412.33
Iberian Coastal,,2000,16920.64,711.76
Iberian Coastal,,2001,27659.48,1211.12
Iberian Coastal,,2002,15576.55,632.41
Iberian Coastal,,2003,22522.3,988.94
Iberian Coastal,,2004,18284.63,833.26
Iberian Coastal,,2005,12588.69,474.47
Iberian Coastal,,2006,18449.57,658.29
Iberian Coastal,,2007,17634.42,778.43
Iberian Coastal,,2008,13974.82,543.49
Iberian Coastal,,2009,15079.78,590.3
Iberian Coastal,,2010,16196,1056.46
Iberian Coastal,,2011,16196,872.49
Iberian Coastal,,2012,16196,704.69
Iberian Coastal,,2013,16196,758.71
Iberian Coastal,,2014,16196,470.59
Iberian Coastal,,2015,16196,793.11
Iceland Shelf and Sea,,2000,0.23,0
Iceland Shelf and Sea,,2001,0.23,0
Iceland Shelf and Sea,,2002,0.23,0
Iceland Shelf and Sea,,2003,0.23,0
Iceland Shelf and Sea,,2004,0.23,0
Iceland Shelf and Sea,,2005,0.23,0
Iceland Shelf and Sea,,2006,0.23,0
Iceland Shelf and Sea,,2007,0.23,0
Iceland Shelf and Sea,,2008,0.23,0
Iceland Shelf and Sea,,2009,0.23,0
Iceland Shelf and Sea,,2010,0.23,0
Iceland Shelf and Sea,,2011,0.23,0
Iceland Shelf and Sea,,2012,0.23,0
Iceland Shelf and Sea,,2013,0.23,0
Iceland Shelf and Sea,,2014,0.23,0
Iceland Shelf and Sea,,2015,0.23,0
Indonesian Sea,,2000,127070.87,2946.15
Indonesian Sea,,2001,117901.04,2838.85
Indonesian Sea,,2002,112520.59,2577.57
Indonesian Sea,,2003,95204.46,2151.33
Indonesian Sea,,2004,108637.8,2429.93
Indonesian Sea,,2005,103344.56,2298.49
Indonesian Sea,,2006,115705.16,2650.91
Indonesian Sea,,2007,104764.64,2530.33
Indonesian Sea,,2008,117262.19,2930.54
Indonesian Sea,,2009,123378.76,3067.69
Indonesian Sea,,2010,121232.04,3445.5
Indonesian Sea,,2011,121231.99,3833.82
Indonesian Sea,,2012,121231.98,3053
Indonesian Sea,,2013,121231.98,3454.81
Indonesian Sea,,2014,121231.98,3871.13
Indonesian Sea,,2015,121231.98,3444.72
Insular Pacific-Hawaiian,,2000,15748.49,455.98
Insular Pacific-Hawaiian,,2001,16384.17,505.71
Insular Pacific-Hawaiian,,2002,16628.86,490.55
Insular Pacific-Hawaiian,,2003,12980.83,387.32
Insular Pacific-Hawaiian,,2004,15156.96,436.5
Insular Pacific-Hawaiian,,2005,16276.55,456.82
Insular Pacific-Hawaiian,,2006,17098.19,547.51
Insular Pacific-Hawaiian,,2007,15493.82,497.41
Insular Pacific-Hawaiian,,2008,18825.96,566.38
Insular Pacific-Hawaiian,,2009,17302.16,497.3
Insular Pacific-Hawaiian,,2010,16683.66,479.34
Insular Pacific-Hawaiian,,2011,16683.65,509.16
Insular Pacific-Hawaiian,,2012,16683.66,327.47
Insular Pacific-Hawaiian,,2013,16683.66,357.08
Insular Pacific-Hawaiian,,2014,16683.66,469.58
Insular Pacific-Hawaiian,,2015,16683.66,432.73
Kara Sea,,2000,37349.8,1653.11
Kara Sea,,2001,41274.02,1870.79
Kara Sea,,2002,41364.54,1825.16
Kara Sea,,2003,35748.43,1620.15
Kara Sea,,2004,35228.59,1561.74
Kara Sea,,2005,35272.47,1580.39
Kara Sea,,2006,34244.49,1568.4
Kara Sea,,2007,38633.82,1711.1
Kara Sea,,2008,35087.19,1533.02
Kara Sea,,2009,36387.87,1691.56
Kara Sea,,2010,36357.28,1659.09
Kara Sea,,2011,36357.28,1685.21
Kara Sea,,2012,36357.29,1822.92
Kara Sea,,2013,36357.29,1877.56
Kara Sea,,2014,36357.28,1579
Kara Sea,,2015,36357.28,1751.83
Kuroshio Current,,2000,75094.81,2331.77
Kuroshio Current,,2001,77432.79,2292.05
Kuroshio Current,,2002,68233.46,2029.93
Kuroshio Current,,2003,79906.52,2150.7
Kuroshio Current,,2004,72263.32,1942.85
Kuroshio Current,,2005,72257.9,2043.01
Kuroshio Current,,2006,86862.91,2064.77
Kuroshio Current,,2007,76181.05,2082.69
Kuroshio Current,,2008,76738.28,2025.01
Kuroshio Current,,2009,72568.94,1890.25
Kuroshio Current,,2010,71755.11,1798.82
Kuroshio Current,,2011,71755.11,1987.13
Kuroshio Current,,2012,71755.11,1567.34
Kuroshio Current,,2013,71755.11,1856.36
Kuroshio Current,,2014,71755.11,1977.06
Kuroshio Current,,2015,71755.11,1774
Labrador - Newfoundland,,2000,7749.64,87.1
Labrador - Newfoundland,,2001,6898,75.58
Labrador - Newfoundland,,2002,6390.98,66.89
Labrador - Newfoundland,,2003,6917.86,71.44
Labrador - Newfoundland,,2004,7221.54,79.75
Labrador - Newfoundland,,2005,6775.19,71.7
Labrador - Newfoundland,,2006,6985.38,81.22
Labrador - Newfoundland,,2007,6955.18,73.08
Labrador - Newfoundland,,2008,6717.26,70.99
Labrador - Newfoundland,,2009,7253.45,79.18
Labrador - Newfoundland,,2010,7213.86,81.76
Labrador - Newfoundland,,2011,7213.86,75.24
Labrador - Newfoundland,,2012,7213.86,75.33
Labrador - Newfoundland,,2013,7213.86,88.9
Labrador - Newfoundland,,2014,7213.86,79.24
Labrador - Newfoundland,,2015,7213.86,93.24
Laptev Sea,,2000,12838.68,945.04
Laptev Sea,,2001,10397.51,747.21
Laptev Sea,,2002,12388.98,901.14
Laptev Sea,,2003,11481.14,809.56
Laptev Sea,,2004,11962.79,866.24
Laptev Sea,,2005,12085.2,893.23
Laptev Sea,,2006,11730.99,860.24
Laptev Sea,,2007,12804.2,967.02
Laptev Sea,,2008,12664.32,994.31
